,Model,Input shape,Layers,Units,Learning rate,Root Mean Squared Errors (validation)
520,BI_LSTM,18,3,32,1e-05,3.9405997305372873
521,CNN,18,3,32,1e-05,1.0273363195808154
522,NN,24,3,32,0.001,1.2233461752271515
523,MPL,24,3,32,0.001,1.0890862077976504
524,simpl_RNN,24,3,32,0.001,0.4980105060389603
525,LSTM,24,3,32,0.001,
526,BI_LSTM,24,3,32,0.001,
527,CNN,24,3,32,0.001,2.036300883033717
528,NN,24,3,32,0.0001,0.7917716328507767
529,MPL,24,3,32,0.0001,0.5651910987225891
530,simpl_RNN,24,3,32,0.0001,0.5404327765292555
531,LSTM,24,3,32,0.0001,2.48789513254654
532,BI_LSTM,24,3,32,0.0001,3.58746374405986
533,CNN,24,3,32,0.0001,0.7933401962942261
534,NN,24,3,32,1e-05,1.5280735052933958
535,MPL,24,3,32,1e-05,1.5634899053168083
536,simpl_RNN,24,3,32,1e-05,0.5543435433284833
537,LSTM,24,3,32,1e-05,1.540504271801798
538,BI_LSTM,24,3,32,1e-05,4.344702350491679
539,CNN,24,3,32,1e-05,1.20527245802579
540,NN,12,3,64,0.001,0.8130472085890209
541,MPL,12,3,64,0.001,0.6526497268555193
542,simpl_RNN,12,3,64,0.001,0.2918813695891366
543,LSTM,12,3,64,0.001,0.8361408849379365
544,BI_LSTM,12,3,64,0.001,1.010227731538606
545,CNN,12,3,64,0.001,0.6814170375658424
546,NN,12,3,64,0.0001,0.3976648463801821
547,MPL,12,3,64,0.0001,0.6807429465376658
548,simpl_RNN,12,3,64,0.0001,0.999948628552742
549,LSTM,12,3,64,0.0001,1.481658713290122
550,BI_LSTM,12,3,64,0.0001,1.185927330592955
551,CNN,12,3,64,0.0001,1.046675278186855
552,NN,12,3,64,1e-05,0.8803675374268599
553,MPL,12,3,64,1e-05,0.653550692174989
554,simpl_RNN,12,3,64,1e-05,1.0345949706929312
555,LSTM,12,3,64,1e-05,1.4342143384901296
556,BI_LSTM,12,3,64,1e-05,1.896076394410772
557,CNN,12,3,64,1e-05,1.0923305506435
558,NN,18,3,64,0.001,0.8096913039581672
559,MPL,18,3,64,0.001,0.6322017203256137
560,simpl_RNN,18,3,64,0.001,0.2405514089151346
561,LSTM,18,3,64,0.001,1.859896031793328
562,BI_LSTM,18,3,64,0.001,
563,CNN,18,3,64,0.001,1.29531855230366
564,NN,18,3,64,0.0001,0.5166671523569686
565,MPL,18,3,64,0.0001,1.4970083779132073
566,simpl_RNN,18,3,64,0.0001,0.2882391996374444
567,LSTM,18,3,64,0.0001,1.247483902236466
568,BI_LSTM,18,3,64,0.0001,1.329670243224215
569,CNN,18,3,64,0.0001,0.7270646869121469
570,NN,18,3,64,1e-05,0.8339307386547394
571,MPL,18,3,64,1e-05,0.8357519932709213
572,simpl_RNN,18,3,64,1e-05,1.0871814941192364
573,LSTM,18,3,64,1e-05,1.3772810906260802
574,BI_LSTM,18,3,64,1e-05,1.1399842883759173
575,CNN,18,3,64,1e-05,1.055487856605329
576,NN,24,3,64,0.001,2.045298396645495
577,MPL,24,3,64,0.001,0.650262552198193
578,simpl_RNN,24,3,64,0.001,0.9078290093102056
579,LSTM,24,3,64,0.001,
580,BI_LSTM,24,3,64,0.001,1.31607360759448
581,CNN,24,3,64,0.001,0.9976814985028808
582,NN,24,3,64,0.0001,0.594382627199986
583,MPL,24,3,64,0.0001,0.64173196591648
584,simpl_RNN,24,3,64,0.0001,0.2506607552340911
585,LSTM,24,3,64,0.0001,0.5283760816470792
586,BI_LSTM,24,3,64,0.0001,1.3700043835729052
587,CNN,24,3,64,0.0001,0.8852994071963647
588,NN,24,3,64,1e-05,2.007592993536898
589,MPL,24,3,64,1e-05,1.474644312449417
590,simpl_RNN,24,3,64,1e-05,0.471219442504534
591,LSTM,24,3,64,1e-05,1.928928036953766
592,BI_LSTM,24,3,64,1e-05,1.2632701842400371
593,CNN,24,3,64,1e-05,1.2221276117545985
594,NN,12,3,128,0.001,0.5681881769753454
595,MPL,12,3,128,0.001,0.2965181494412146
596,simpl_RNN,12,3,128,0.001,0.4267265335255885
597,LSTM,12,3,128,0.001,0.7594234795012363
598,BI_LSTM,12,3,128,0.001,3.6782521273685886
599,CNN,12,3,128,0.001,0.6262091865751251
600,NN,12,3,128,0.0001,0.8594301538930819
601,MPL,12,3,128,0.0001,0.4190302231007282
602,simpl_RNN,12,3,128,0.0001,0.1928512048877666
603,LSTM,12,3,128,0.0001,1.3669211005844175
604,BI_LSTM,12,3,128,0.0001,1.102356793304727
605,CNN,12,3,128,0.0001,1.0138935299249
606,NN,12,3,128,1e-05,0.8799310361831394
607,MPL,12,3,128,1e-05,0.8107029441168868
608,simpl_RNN,12,3,128,1e-05,0.815567867708672
609,LSTM,12,3,128,1e-05,1.8433748990232888
610,BI_LSTM,12,3,128,1e-05,1.3821001419486516
611,CNN,12,3,128,1e-05,1.0401053925519794
612,NN,18,3,128,0.001,0.586371434485404
613,MPL,18,3,128,0.001,0.6396251205609274
614,simpl_RNN,18,3,128,0.001,0.2888187943149085
615,LSTM,18,3,128,0.001,
616,BI_LSTM,18,3,128,0.001,1.5290528166631918
617,CNN,18,3,128,0.001,0.6586266741255615
618,NN,18,3,128,0.0001,0.4963180653779119
619,MPL,18,3,128,0.0001,0.829608827254974
620,simpl_RNN,18,3,128,0.0001,0.3328051793270747
621,LSTM,18,3,128,0.0001,1.413790242551921
622,BI_LSTM,18,3,128,0.0001,1.9839361165756808
623,CNN,18,3,128,0.0001,0.6389421144904366
624,NN,18,3,128,1e-05,0.7826929060666242
625,MPL,18,3,128,1e-05,1.3110868897400654
626,simpl_RNN,18,3,128,1e-05,0.6655260270369537
627,LSTM,18,3,128,1e-05,1.2984681318327758
628,BI_LSTM,18,3,128,1e-05,1.2691386990594702
629,CNN,18,3,128,1e-05,1.092492220719723
630,NN,24,3,128,0.001,0.7034109244147156
631,MPL,24,3,128,0.001,0.6843081661398069
632,simpl_RNN,24,3,128,0.001,0.5266328998482036
633,LSTM,24,3,128,0.001,1.8431930261085472
634,BI_LSTM,24,3,128,0.001,0.9722912045044132
635,CNN,24,3,128,0.001,1.0468198894237932
636,NN,24,3,128,0.0001,0.4791911091356547
637,MPL,24,3,128,0.0001,0.5273382441576955
638,simpl_RNN,24,3,128,0.0001,0.4564681804825466
639,LSTM,24,3,128,0.0001,1.4024667326765548
640,BI_LSTM,24,3,128,0.0001,
641,CNN,24,3,128,0.0001,0.7507747769163106
642,NN,24,3,128,1e-05,1.5267134132295204
643,MPL,24,3,128,1e-05,1.619625037718395
644,simpl_RNN,24,3,128,1e-05,1.1323810329556452
645,LSTM,24,3,128,1e-05,1.633971434609572
646,BI_LSTM,24,3,128,1e-05,1.3458513363120697
647,CNN,24,3,128,1e-05,1.164597718176667
