,Model,Input shape,Layers,Units,Learning rate,Root Mean Squared Errors (validation)
103,MPL,24,1,32,1e-05,0.8253985110952371
104,simpl_RNN,24,1,32,1e-05,1.137732502811266
105,LSTM,24,1,32,1e-05,1.1694100504769138
106,BI_LSTM,24,1,32,1e-05,1.140663513983332
107,CNN,24,1,32,1e-05,1.0982984777233402
108,NN,12,1,64,0.001,0.3952535520063006
109,MPL,12,1,64,0.001,0.2898886036499252
110,simpl_RNN,12,1,64,0.001,0.91078540024581
111,LSTM,12,1,64,0.001,0.5874859812548532
112,BI_LSTM,12,1,64,0.001,0.8169132742977863
113,CNN,12,1,64,0.001,2.317170102610681
114,NN,12,1,64,0.0001,0.5706779120770636
115,MPL,12,1,64,0.0001,0.9345097063247694
116,simpl_RNN,12,1,64,0.0001,0.974659222544332
117,LSTM,12,1,64,0.0001,1.060485898225538
118,BI_LSTM,12,1,64,0.0001,1.0230550138551784
119,CNN,12,1,64,0.0001,0.9131025535089274
120,NN,12,1,64,1e-05,0.7800829486752963
121,MPL,12,1,64,1e-05,0.6850374366947874
122,simpl_RNN,12,1,64,1e-05,1.2536753513091392
123,LSTM,12,1,64,1e-05,1.346304674662272
124,BI_LSTM,12,1,64,1e-05,1.0281578361769923
125,CNN,12,1,64,1e-05,1.1227089348980892
126,NN,18,1,64,0.001,0.6432011346291004
127,MPL,18,1,64,0.001,0.6423558389388453
128,simpl_RNN,18,1,64,0.001,0.8100334265601746
129,LSTM,18,1,64,0.001,
130,BI_LSTM,18,1,64,0.001,1.0901898248549728
131,CNN,18,1,64,0.001,0.6745283498803135
132,NN,18,1,64,0.0001,0.5323408806406111
133,MPL,18,1,64,0.0001,0.5205002827892662
134,simpl_RNN,18,1,64,0.0001,1.1710914213575871
135,LSTM,18,1,64,0.0001,0.6505157164703997
136,BI_LSTM,18,1,64,0.0001,1.1422758326490132
137,CNN,18,1,64,0.0001,0.714375418019517
138,NN,18,1,64,1e-05,0.7981797568089122
139,MPL,18,1,64,1e-05,1.3684460937668372
140,simpl_RNN,18,1,64,1e-05,1.536943818062262
141,LSTM,18,1,64,1e-05,1.377355309137268
142,BI_LSTM,18,1,64,1e-05,1.4184259547929192
143,CNN,18,1,64,1e-05,0.9822446775425548
144,NN,24,1,64,0.001,0.5608027706271695
145,MPL,24,1,64,0.001,0.5549593038460783
146,simpl_RNN,24,1,64,0.001,1.088528533955918
147,LSTM,24,1,64,0.001,1.059753124841596
148,BI_LSTM,24,1,64,0.001,0.7860792551529652
149,CNN,24,1,64,0.001,0.7326902644016272
150,NN,24,1,64,0.0001,0.5726160945867841
151,MPL,24,1,64,0.0001,0.6043054471320082
152,simpl_RNN,24,1,64,0.0001,0.7574437695241832
153,LSTM,24,1,64,0.0001,1.0835278844308205
154,BI_LSTM,24,1,64,0.0001,1.1471434639087468
155,CNN,24,1,64,0.0001,0.7077472537117623
156,NN,24,1,64,1e-05,0.9823848006080612
157,MPL,24,1,64,1e-05,0.7563010493153715
158,simpl_RNN,24,1,64,1e-05,1.1601825887009498
159,LSTM,24,1,64,1e-05,1.3907279869593208
160,BI_LSTM,24,1,64,1e-05,1.520613276229365
161,CNN,24,1,64,1e-05,1.0872258669479349
162,NN,12,1,128,0.001,0.8315081199673972
163,MPL,12,1,128,0.001,1.251778274463068
164,simpl_RNN,12,1,128,0.001,0.5614472131143542
165,LSTM,12,1,128,0.001,1.168537537111459
166,BI_LSTM,12,1,128,0.001,0.9657694102559972
167,CNN,12,1,128,0.001,0.850386459646876
168,NN,12,1,128,0.0001,1.2690278037837723
169,MPL,12,1,128,0.0001,1.4544631457805264
170,simpl_RNN,12,1,128,0.0001,0.5592376279549401
171,LSTM,12,1,128,0.0001,0.904554336462576
172,BI_LSTM,12,1,128,0.0001,1.0410039525630466
173,CNN,12,1,128,0.0001,1.0082941081644503
174,NN,12,1,128,1e-05,1.1551132425233055
175,MPL,12,1,128,1e-05,0.8050983875632786
176,simpl_RNN,12,1,128,1e-05,1.1895282806034158
177,LSTM,12,1,128,1e-05,1.3583348216115665
