,LSTM_2_16,DNN_2_16,RNN_2_16,CNN_2_16,LSTM_2_32,DNN_2_32,RNN_2_32,CNN_2_32,LSTM_2_64,DNN_2_64,RNN_2_64,CNN_2_64,LSTM_2_128,DNN_2_128,RNN_2_128,CNN_2_128,LSTM_3_16,DNN_3_16,RNN_3_16,CNN_3_16,LSTM_3_32,DNN_3_32,RNN_3_32,CNN_3_32,LSTM_3_64,DNN_3_64,RNN_3_64,CNN_3_64,LSTM_3_128,DNN_3_128,RNN_3_128,CNN_3_128
0,20.87948989868164,18.876155853271484,23.258031845092773,20.95909881591797,20.300762176513672,18.843353271484375,30.155590057373047,18.030067443847656,18.25577163696289,38.61253356933594,23.73516082763672,20.83540153503418,19.53681182861328,20.25812530517578,15.281991958618164,20.131235122680664,20.3162841796875,30.38119888305664,29.859512329101562,20.694120407104492,24.392879486083984,15.49464225769043,11.758161544799805,19.79637908935547,19.96030044555664,17.94608497619629,22.139856338500977,20.34803009033203,19.94429588317871,20.621519088745117,21.56027603149414,20.194936752319336
1,20.64201545715332,17.99112892150879,22.20477867126465,20.687292098999023,20.257041931152344,17.962865829467773,13.254926681518555,17.978137969970703,18.199277877807617,31.921628952026367,22.527128219604492,20.74083709716797,19.499557495117188,19.766326904296875,13.030900955200195,20.09942054748535,20.285863876342773,29.490381240844727,29.05315589904785,20.67986488342285,24.01788902282715,15.291869163513184,7.328872203826904,19.78194808959961,19.943456649780273,17.115888595581055,21.162172317504883,20.337392807006836,19.924999237060547,20.1195125579834,19.66175651550293,20.18212890625
2,20.39104461669922,17.099023818969727,20.96722984313965,20.410125732421875,20.210384368896484,17.071792602539062,8.366376876831055,17.919845581054688,18.137447357177734,26.217744827270508,21.307064056396484,20.64017105102539,19.459444046020508,19.2515869140625,10.996994018554688,20.064855575561523,20.253463745117188,28.57300567626953,28.267759323120117,20.664560317993164,23.670534133911133,15.069612503051758,5.254247188568115,19.766185760498047,19.925294876098633,16.284582138061523,20.2061767578125,20.325786590576172,19.903831481933594,19.5898494720459,17.946104049682617,20.168285369873047
3,20.126136779785156,16.206113815307617,19.5478572845459,20.13042449951172,20.16005516052246,16.155601501464844,6.247763633728027,17.854965209960938,18.07029151916504,21.46291732788086,20.04862403869629,20.533653259277344,19.415712356567383,18.715892791748047,9.225555419921875,20.02742576599121,20.218610763549805,27.643774032592773,27.515701293945312,20.648090362548828,23.35342025756836,14.825814247131348,4.2629008293151855,19.74898910522461,19.905519485473633,15.447587966918945,19.261459350585938,20.313222885131836,19.880767822265625,19.02984046936035,16.354515075683594,20.153356552124023
4,19.84050941467285,15.308693885803223,17.884138107299805,19.84295654296875,20.106409072875977,15.226305961608887,5.260976791381836,17.782102584838867,17.997007369995117,17.50341796875,18.79199981689453,20.419658660888672,19.36893653869629,18.15971565246582,7.725118160247803,19.987117767333984,20.181243896484375,26.70893669128418,26.815013885498047,20.63031768798828,23.04827308654785,14.561044692993164,3.8115179538726807,19.73042869567871,19.88425636291504,14.61660385131836,18.360279083251953,20.299516677856445,19.855974197387695,18.447111129760742,14.845246315002441,20.1373348236084
5,19.533790588378906,14.398687362670898,15.897781372070312,19.53952980041504,20.048479080200195,14.295302391052246,4.747339248657227,17.699298858642578,17.917720794677734,14.295272827148438,17.547283172607422,20.296674728393555,19.317750930786133,17.584686279296875,6.517166614532471,19.943361282348633,20.14064598083496,25.75783920288086,26.168380737304688,20.611045837402344,22.750282287597656,14.26628589630127,3.6181585788726807,19.71028709411621,19.861207962036133,13.80019760131836,17.484142303466797,20.2846622467041,19.82929229736328,17.84014129638672,13.45286750793457,20.120073318481445
6,19.205392837524414,13.47949504852295,13.798866271972656,19.218597412109375,19.98676109313965,13.357705116271973,4.404077053070068,17.606426239013672,17.830747604370117,11.754985809326172,16.302549362182617,20.163164138793945,19.263179779052734,17.00311851501465,5.581587314605713,19.895816802978516,20.097381591796875,24.78936004638672,25.607269287109375,20.590452194213867,22.473817825317383,13.951774597167969,3.535559892654419,19.6883487701416,19.836156845092773,13.013341903686523,16.62987518310547,20.268495559692383,19.80013084411621,17.217504501342773,12.11932373046875,20.101469039916992
7,18.845014572143555,12.567099571228027,11.588313102722168,18.879880905151367,19.9206600189209,12.422659873962402,4.161739349365234,17.500741958618164,17.734405517578125,9.790792465209961,15.122201919555664,20.013010025024414,19.20457649230957,16.39809799194336,4.930969715118408,19.84461212158203,20.050573348999023,23.80031967163086,25.128496170043945,20.568506240844727,22.198015213012695,13.612798690795898,3.483816146850586,19.66465950012207,19.80901336669922,12.242350578308105,15.786408424377441,20.25092124938965,19.76873779296875,16.574247360229492,10.828490257263184,20.08138084411621
8,18.445114135742188,11.661762237548828,9.44986343383789,18.51143455505371,19.849451065063477,11.47658634185791,3.952716588973999,17.379348754882812,17.630237579345703,8.283293724060059,13.986431121826172,19.848133087158203,19.140901565551758,15.779220581054688,4.49507999420166,19.789470672607422,19.999828338623047,22.811250686645508,24.720361709594727,20.54491424560547,21.940872192382812,13.2487154006958,3.4277594089508057,19.639001846313477,19.779394149780273,11.48720932006836,14.939326286315918,20.23185920715332,19.734752655029297,15.913612365722656,9.567063331604004,20.059886932373047
9,17.988523483276367,10.767556190490723,7.730296611785889,18.10379981994629,19.773521423339844,10.559402465820312,3.792518138885498,17.24555206298828,17.516016006469727,7.171638488769531,12.838125228881836,19.66929054260254,19.07187271118164,15.147236824035645,4.230409145355225,19.7297306060791,19.945463180541992,21.803510665893555,24.361249923706055,20.519773483276367,21.685894012451172,12.86108684539795,3.3922927379608154,19.611085891723633,19.74756622314453,10.75739574432373,14.089802742004395,20.211347579956055,19.697351455688477,15.242962837219238,8.357796669006348,20.0367374420166
