date,CPI
1974-01-01,3.17132602400283
1974-02-01,3.21231246696281
1974-03-01,3.23792899381279
1974-04-01,3.24305229918279
1974-05-01,3.21231246696281
1974-06-01,3.23792899381279
1974-07-01,3.25586056260778
1974-08-01,3.2712304787434
1974-09-01,3.21999742504342
1974-10-01,3.21999742504342
1974-11-01,3.21999742504342
1974-12-01,3.24817560455279
1975-01-01,3.33271014315775
1975-02-01,3.37369658614335
1975-03-01,3.42492963984332
1975-04-01,3.41980633447332
1975-05-01,3.44542286132331
1975-06-01,3.46079277740768
1975-07-01,3.52227244187327
1975-08-01,3.55813557943764
1975-09-01,3.56582053751826
1975-10-01,3.60424532779323
1975-11-01,3.59912202242323
1975-12-01,3.6324235073026
1976-01-01,3.70158812982318
1976-02-01,3.70927308785257
1976-03-01,3.83479406944312
1976-04-01,3.75282118352316
1976-05-01,3.71695804590756
1976-06-01,3.71695804590756
1976-07-01,3.74769787812754
1976-08-01,3.80149258451252
1976-09-01,3.91676695533746
1976-10-01,3.91932860804807
1976-11-01,3.95775339832306
1976-12-01,4.11913751745236
1977-01-01,4.23697354096231
1977-02-01,4.23953519367292
1977-03-01,4.15243900235735
1977-04-01,4.02435636810741
1977-05-01,4.08071272717739
1977-06-01,4.19854875068732
1977-07-01,4.23697354096231
1977-08-01,4.30869981616788
1977-09-01,4.36249452252725
1977-10-01,4.39835766014284
1977-11-01,4.55718012658715
1977-12-01,4.60072822223212
1979-01-01,5.44863526099233
1979-02-01,5.4768134405017
1979-03-01,5.4665668297617
1979-04-01,5.40252551263674
1979-05-01,5.43070369219734
1979-06-01,5.64332086502662
1979-07-01,5.84312977445652
1979-08-01,5.9174177023471
1979-09-01,5.76371854124717
1979-10-01,5.63563590699723
1979-11-01,5.57927954790165
1979-12-01,5.65100582308161
1980-01-01,5.88155456475712
1980-02-01,5.95584249262209
1980-03-01,5.94303422919708
1980-04-01,5.9276643130871
1980-05-01,5.86106134327713
1980-06-01,5.9071710916071
1980-07-01,6.14284313862699
1980-08-01,6.30166560509691
1980-09-01,6.3093505631519
1980-10-01,6.46304972425183
1980-11-01,6.51684443063681
1980-12-01,6.45024146082684
1981-01-01,6.91390059681161
1981-02-01,7.21105230827146
1981-03-01,7.1470109911465
1981-04-01,7.14444933846149
1981-05-01,7.06247645254154
1981-06-01,6.71409168738171
1981-07-01,6.92414720755161
1981-08-01,7.06247645254154
1981-09-01,7.04454488374655
1981-10-01,7.17775082336648
1981-11-01,7.17518917068148
1981-12-01,6.87803745922163
1982-01-01,7.31153403681844
1982-02-01,7.29653601828137
1982-03-01,7.41652016657788
1982-04-01,7.37902512023522
1982-05-01,7.28153799974431
1982-06-01,7.28153799974431
1982-07-01,7.85896171342125
1982-08-01,8.12142703781986
1982-09-01,7.90395576903244
1982-10-01,7.61899341682824
1982-11-01,7.27403899047578
1982-12-01,7.23654394413312
1983-01-01,8.06143496367161
1983-02-01,8.21891415831078
1983-03-01,8.22641316757931
1983-04-01,8.03143892659748
1983-05-01,7.83646468561566
1983-06-01,7.83646468561566
1983-07-01,7.45401521292054
1983-08-01,7.70148251878209
1983-09-01,7.74647657439328
1983-10-01,7.88895775049538
1983-11-01,8.18891812123665
1983-12-01,8.15892208416252
1984-01-01,8.56386858466323
1984-02-01,8.4138883992926
1984-03-01,8.48887849197792
1984-04-01,8.63885867734855
1984-05-01,8.47388047344085
1984-06-01,8.5788666032003
1984-07-01,8.391391371487
1984-08-01,8.52637353832058
1984-09-01,8.34639731587582
1984-10-01,8.51137551978351
1984-11-01,9.12629427980312
1984-12-01,9.0288071593122
1985-01-01,9.56873582664648
1985-02-01,9.23128040956256
1985-03-01,9.3587635671276
1985-04-01,9.38875960420173
1985-05-01,9.34376554859053
1985-06-01,9.40375762273879
1985-07-01,9.09629824272898
1985-08-01,9.34376554859053
1985-09-01,9.3587635671276
1985-10-01,9.5237417710353
1985-11-01,10.1236625125178
1985-12-01,10.153658549592
1986-01-01,10.746080281806
1986-02-01,10.4611179296017
1986-03-01,10.52111000375
1986-04-01,10.5661040593612
1986-05-01,10.4761159481388
1986-06-01,10.4461199110647
1986-07-01,10.1911535959346
1986-08-01,10.2961397256941
1986-09-01,10.4761159481388
1986-10-01,10.8660644301025
1986-11-01,11.578470310613
1986-12-01,11.3609990418256
1987-01-01,11.7884425701319
1987-02-01,11.5559732828074
1987-03-01,11.5709713013444
1987-04-01,11.59346832915
1987-05-01,11.6159653569556
1987-06-01,11.0385416432787
1987-07-01,10.8360683930283
1987-08-01,10.9785495691305
1987-09-01,11.1960208379178
1987-10-01,11.5109792271962
1987-11-01,12.1034009594102
1987-12-01,11.7209514867151
1988-01-01,12.283377181855
1988-02-01,11.9609197833081
1988-03-01,12.1108999686787
1988-04-01,12.2008880799011
1988-05-01,11.930923746234
1988-06-01,11.6159653569556
1988-07-01,11.6009673384186
1988-08-01,12.1258979872158
1988-09-01,12.2908761911235
1988-10-01,12.2758781725865
1988-11-01,12.5083474599109
1988-12-01,12.7333177379668
1989-01-01,13.0707731550508
1989-02-01,13.130765229199
1989-03-01,12.9282919789487
1989-04-01,13.4457236184774
1989-05-01,12.8008088213836
1989-06-01,12.8608008955319
1989-07-01,13.1232662199305
1989-08-01,13.1457632477361
1989-09-01,13.1607612662732
1989-10-01,13.4757196555516
1989-11-01,13.948157239469
1989-12-01,14.0981374248397
1990-01-01,14.2104336638003
1990-02-01,14.0043141067773
1990-03-01,14.6633715438827
1990-04-01,15.1386281021139
1990-05-01,14.9377599987731
1990-06-01,15.5337999916931
